ID,PRED
3643,0
16036,0
9401,0
17903,1
5198,1
28766,0
4638,0
1487,0
20373,0
9811,0
345,0
5975,0
3286,0
25529,0
4421,0
23973,0
31101,0
28737,0
13321,0
29498,0
21002,0
21366,0
8094,0
11782,0
13855,0
26842,0
26065,0
26127,0
23772,0
1616,1
16643,0
29996,0
23274,0
16917,0
23550,0
29490,0
4850,0
18341,0
1530,1
28619,0
14100,0
2201,1
3282,0
28648,1
2507,1
14726,0
27677,0
18598,1
9693,0
20100,0
28793,0
28008,1
11866,0
15418,0
2649,1
15073,0
11655,0
19955,0
19014,0
28236,1
6149,0
25412,0
3068,1
9169,0
18415,0
7759,0
9870,0
13819,0
27539,0
15685,0
18245,0
12113,0
25339,0
1331,0
19195,0
29149,0
12883,0
19640,0
8030,0
30808,0
20623,0
9273,0
22945,1
3899,0
12079,0
9544,0
1923,1
17612,0
23970,0
29234,0
7922,0
30461,0
4032,0
27327,0
26527,0
3578,0
15537,0
196,0
9658,0
13114,0
18002,0
20951,0
20410,0
20050,0
2361,1
20295,0
11177,0
11291,1
9176,1
29270,1
17410,0
20353,0
30283,0
26298,0
16089,0
6847,0
14355,0
19587,0
3820,0
25366,0
21879,0
25947,0
12347,1
1837,1
15294,0
3049,1
29343,0
5513,0
27774,0
10013,1
4448,0
18043,0
25243,0
13069,0
11566,0
30062,0
6535,0
27441,0
14200,1
20082,0
10814,0
16506,0
28852,0
26674,0
8557,0
31438,0
11743,0
29221,0
13278,0
12287,0
821,1
23768,0
31237,0
19639,0
4903,0
28256,0
30749,0
8687,0
12114,1
24801,0
32296,0
15214,0
9020,0
11505,0
3833,0
20729,0
20414,0
21098,0
1866,1
30464,0
27157,0
18498,0
15278,0
18273,0
28187,0
18669,0
14240,1
6690,0
14770,0
32094,0
30742,0
31601,0
28683,0
6556,0
4667,0
29555,0
16359,0
29164,1
19707,0
13021,0
21743,0
28964,0
21759,0
29213,0
27275,0
29330,0
27387,0
23746,0
20948,0
7558,0
22474,0
30154,0
30598,0
29023,1
24920,0
5601,0
18392,0
8821,0
19401,0
20949,1
19530,0
27130,0
